Unit_Code,Loc_Name,Date_Established,Upslope_Pct,Corner_Number,Bearing_Corner
DEVA,DEVA016,4/12/2012 0:00:00,7,1,151
DEVA,DEVA022,4/10/2012 0:00:00,9,1,12
GRBA,GRBA033,7/17/2012 0:00:00,33,3,6
JOTR,JOTR002,5/7/2012 0:00:00,6,4,342
JOTR,JOTR004,5/3/2012 0:00:00,3,2,97
JOTR,JOTR010,4/23/2012 0:00:00,8,4,4
JOTR,JOTR030,4/24/2012 0:00:00,3,3,4
JOTR,JOTR031,4/24/2012 0:00:00,5,2,6
MANZ,MANZ001,7/31/2012 0:00:00,0,1,315
MANZ,MANZ005,8/1/2012 0:00:00,4,1,8
MANZ,MANZ006,8/1/2012 0:00:00,2,1,102
MOJA,MOJA009,5/21/2012 0:00:00,3,1,5
MOJA,MOJA115,5/23/2012 0:00:00,13,3,9
MOJA,MOJA121,6/5/2012 0:00:00,6,2,5
MOJA,MOJA233,5/15/2012 0:00:00,11,4,8
PARA,PARA001,6/19/2012 0:00:00,8,1,5
PARA,PARA002,6/20/2012 0:00:00,2,2,10
PARA,PARA025,6/14/2012 0:00:00,2,1,10
LAKE,LAKE001,10/30/2013 0:00:00,5,1,5
LAKE,LAKE004,10/28/2013 0:00:00,8,1,25
LAKE,LAKE005,12/16/2013 0:00:00,5,1,92
LAKE,LAKE007,1/28/2014 0:00:00,6,1,275
LAKE,LAKE008,11/5/2013 0:00:00,4,1,25
LAKE,LAKE012,11/7/2013 0:00:00,5,4,265
LAKE,LAKE013,1/15/2014 0:00:00,21,1,5
LAKE,LAKE014,12/10/2013 0:00:00,,1,85
LAKE,LAKE015,12/5/2013 0:00:00,4,1,235
LAKE,LAKE018,12/9/2013 0:00:00,2,1,75
LAKE,LAKE016,11/25/2013 0:00:00,4,1,25
LAKE,LAKE024,11/14/2013 0:00:00,15,1,245
LAKE,LAKE027,1/28/2014 0:00:00,36,1,85
LAKE,LAKE028,1/14/2014 0:00:00,25,1,195
LAKE,LAKE224,12/3/2013 0:00:00,3,1,95
LAKE,LAKE029,11/26/2013 0:00:00,21,1,25
LAKE,LAKE030,12/11/2013 0:00:00,15,1,120
LAKE,LAKE031,12/3/2013 0:00:00,30,1,225
LAKE,LAKE042,12/10/2013 0:00:00,55,1,355
LAKE,LAKE056,1/9/2014 0:00:00,12,4,225
LAKE,LAKE085,1/16/2014 0:00:00,17,1,117
LAKE,LAKE181,1/27/2014 0:00:00,31,1,295
LAKE,LAKE184,12/4/2013 0:00:00,3,1,215
JOTR,JOTR012,2/24/2015 0:00:00,3,1,121
JOTR,JOTR003,2/24/2015 0:00:00,3,1,71
JOTR,JOTR006,2/25/2015 0:00:00,5,1,186
JOTR,JOTR014,2/26/2015 0:00:00,6,1,320
JOTR,JOTR022,2/25/2015 0:00:00,5,1,186
JOTR,JOTR034,2/26/2015 0:00:00,3,1,113
JOTR,JOTR011,3/2/2015 0:00:00,4,1,37
JOTR,JOTR020,3/2/2015 0:00:00,1,1,15
JOTR,JOTR026,2/24/2015 0:00:00,4,1,345
JOTR,JOTR001,3/3/2015 0:00:00,9,1,131
JOTR,JOTR019,2/24/2015 0:00:00,2,4,115
JOTR,JOTR027,3/3/2015 0:00:00,1,1,120
JOTR,JOTR018,3/9/2015 0:00:00,9,1,315
JOTR,JOTR005,3/9/2015 0:00:00,7,1,255
JOTR,JOTR017,3/9/2015 0:00:00,7,1,193
JOTR,JOTR037,3/4/2015 0:00:00,7,1,110
JOTR,JOTR021,3/4/2015 0:00:00,1,1,215
JOTR,JOTR033,3/10/2015 0:00:00,5,1,163
JOTR,JOTR007,3/10/2015 0:00:00,2,1,12
JOTR,JOTR041,3/10/2015 0:00:00,5,1,177
JOTR,JOTR008,3/16/2015 0:00:00,7,4,173
JOTR,JOTR009,3/11/2015 0:00:00,6,1,136
JOTR,JOTR016,3/17/2015 0:00:00,10,1,211
JOTR,JOTR025,3/11/2015 0:00:00,3,1,125
JOTR,JOTR035,3/5/2015 0:00:00,3,1,337
JOTR,JOTR038,3/5/2015 0:00:00,5,1,140
LAKE,LAKE185,1/22/2014 0:00:00,32,1,145
LAKE,LAKE186,1/13/2014 0:00:00,48,1,315
LAKE,LAKE190,1/7/2014 0:00:00,0,1,75
LAKE,LAKE194,11/11/2013 0:00:00,17,1,355
JOTR,JOTR039,3/23/2015 0:00:00,3,1,230
LAKE,LAKE195,11/13/2013 0:00:00,9,4,215
LAKE,LAKE197,1/16/2014 0:00:00,20,4,65
JOTR,JOTR042,3/24/2015 0:00:00,1,1,55
LAKE,LAKE183,4/8/2015 0:00:00,8,2,175
LAKE,LAKE203,4/9/2015 0:00:00,5,4,5
LAKE,LAKE204,4/16/2015 0:00:00,4,1,265
JOTR,JOTR015,4/1/2015 0:00:00,2,4,354
JOTR,JOTR049,4/2/2015 0:00:00,8,1,243
MOJA,MOJAB006,10/6/2015 0:00:00,5,1,260
MOJA,MOJAB034,10/6/2015 0:00:00,5,1,285
MOJA,MOJAB002,10/8/2015 0:00:00,3,1,297
MOJA,MOJAB010,10/14/2015 0:00:00,4,2,25
MOJA,MOJAB013,10/13/2015 0:00:00,5,4,325
MOJA,MOJAB014,10/7/2015 0:00:00,3,1,325
MOJA,MOJAB018,10/8/2015 0:00:00,3,1,305
MOJA,MOJAB025,10/22/2015 0:00:00,3,1,265
MOJA,MOJAB029,10/13/2015 0:00:00,3,2,185
MOJA,MOJAB040,10/15/2015 0:00:00,6,1,230
MOJA,MOJAB041,10/14/2015 0:00:00,3,2,100
MOJA,MOJAB020,10/20/2015 0:00:00,4,1,75
MOJA,MOJAB015,10/20/2015 0:00:00,3,1,110
MOJA,MOJAB008,10/19/2015 0:00:00,5,1,225
MOJA,MOJAB004,10/19/2015 0:00:00,2,1,285
LAKE,LAKE210,4/22/2015 0:00:00,19,1,167
MOJA,MOJAB017,10/24/2015 0:00:00,3,1,5
MOJA,MOJAB001,11/2/2015 0:00:00,6,1,350
MOJA,MOJAB009,10/22/2015 0:00:00,2,1,310
MOJA,MOJAB012,11/7/2015 0:00:00,3,1,325
MOJA,MOJAB022,10/21/2015 0:00:00,1,1,315
MOJA,MOJAB023,11/4/2015 0:00:00,26,1,105
MOJA,MOJAB026,10/21/2015 0:00:00,2,1,305
MOJA,MOJAB028,11/7/2015 0:00:00,1,1,145
MOJA,MOJAB032,11/2/2015 0:00:00,3,1,170
MOJA,MOJAB033,10/24/2015 0:00:00,6,1,353
